Provider,Policy URL,Industry,Source,Date,Status,Score,GDPR Score,Graph Kind,Pipeline Status,Pipeline Errors
Intel,https://www.intel.com/content/www/us/en/privacy/intel-privacy-notice.html,Information Technology,webpage,2025-09-05,True,83.3,82.1,standard,succeeded,[]
Intel,./output/data/Intel.pdf,Information Technology,pdf,2025-10-30,True,83.3,82.4,standard,succeeded,[]
Intercontinental Exchange,https://www.ice.com/privacy-security-center#intercontinental-exchange-privacy-policy,Financials,pdf,2025-09-05,True,70.8,88.9,standard,succeeded,[]
Intercontinental Exchange,https://www.ice.com/privacy-security-center#intercontinental-exchange-privacy-policy,Financials,webpage,2025-09-05,True,91.7,78.3,standard,succeeded,[]
Intercontinental Exchange,./output/data/ICE.pdf,Financials,pdf,2025-10-30,True,91.7,78.8,standard,succeeded,[]
Intuit,https://www.intuit.com/privacy/statement/,Information Technology,pdf,2025-09-05,False,,,none,pending,[]
Intuit,https://www.intuit.com/privacy/statement/,Information Technology,webpage,2025-09-05,True,70.8,48.5,standard,succeeded,[]
Intuit,./output/data/Intuit.pdf,Information Technology,pdf,2025-10-30,True,66.7,67.4,standard,succeeded,[]
Intuitive Surgical,https://www.intuitive.com/en-us/about-us/company/legal/privacy-policy,Healthcare,pdf,2025-09-05,True,75.0,96.4,standard,succeeded,[]
Intuitive Surgical,https://www.intuitive.com/en-us/about-us/company/legal/privacy-policy,Healthcare,webpage,2025-09-05,True,79.2,90.2,standard,succeeded,[]
Intuitive Surgical,./output/data/Intuitive.pdf,Healthcare,pdf,2025-10-30,True,79.2,92.2,standard,succeeded,[]
Invesco,https://www.invesco.com/us-rest/contentdetail?contentId=4b607f49-7548-4a82-8c5a-77cfaeb3ea87,Financials,pdf,2025-09-05,False,,,none,pending,[]
Invesco,https://www.invesco.com/us-rest/contentdetail?contentId=4b607f49-7548-4a82-8c5a-77cfaeb3ea87,Financials,webpage,2025-09-05,False,,,none,pending,[]
Invesco,./output/data/Invesco.pdf,Financials,pdf,2025-10-30,True,66.7,85.6,standard,succeeded,[]
JPMorgan Chase,https://www.jpmorgan.com/privacy,Financials,pdf,2025-09-05,True,79.2,67.3,standard,succeeded,[]
JPMorgan Chase,https://www.jpmorgan.com/privacy,Financials,webpage,2025-09-05,True,87.5,84.3,standard,succeeded,[]
JPMorgan Chase,./output/data/JPMorgan.pdf,Financials,pdf,2025-10-30,True,87.5,80.9,standard,succeeded,[]
Jabil,https://www.jabil.com/about-us/the-jabil-code/privacy.html,Information Technology,pdf,2025-09-05,True,66.7,87.2,standard,succeeded,[]
Jabil,https://www.jabil.com/about-us/the-jabil-code/privacy.html,Information Technology,webpage,2025-09-05,True,66.7,82.9,standard,succeeded,[]
Jabil,./output/data/Jabil.pdf,Information Technology,pdf,2025-10-30,True,66.7,83.0,standard,succeeded,[]
Jack Henry & Associates,https://www.jackhenry.com/privacy-policy,Financials,pdf,2025-09-05,True,66.7,68.1,standard,succeeded,[]
